iter	Passed	Remaining
0	1336	667035
1	2534	631008
2	3692	611656
3	4875	604507
4	6043	598258
5	7233	595586
6	8305	584910
7	9428	579836
8	10607	578716
9	11842	580293
10	12990	577465
11	14232	578774
12	15410	577284
13	16549	574510
14	17688	571912
15	18857	570440
16	20026	568974
17	21107	565205
18	22234	562888
19	23372	560932
20	24501	558859
21	25662	557567
22	26797	555757
23	27916	553676
24	29073	552405
25	30299	552376
26	31449	550948
27	32589	549373
28	33796	548898
29	35023	548705
30	36145	546840
31	37223	544392
32	38296	541960
33	39355	539408
34	40404	536800
35	41429	533982
36	42535	532267
37	43609	530200
38	44673	528068
39	45741	526027
40	46812	524072
41	47950	522889
42	49032	521117
43	50146	519699
44	51173	517418
45	52305	516232
46	53429	514966
47	54596	514121
48	55715	512806
49	56759	510835
50	57845	509265
51	58857	507080
52	59971	505801
53	60967	503546
54	61993	501587
55	63078	500125
56	64154	498602
57	65200	496872
58	66206	494867
59	67231	493033
60	68237	491089
61	69221	489014
62	70263	487381
63	71270	485528
64	72231	483396
65	73236	481588
66	74290	480117
67	75346	478673
68	76349	476905
69	77448	475755
70	78579	474795
71	79743	474029
72	80753	472351
73	81904	471501
74	83003	470351
75	84007	468674
76	84957	466713
77	85977	465160
78	87012	463698
79	88129	462680
80	89180	461314
81	90273	460176
82	91332	458862
83	92405	457625
84	93467	456342
85	94532	455075
86	95579	453729
87	96698	452725
88	97685	451107
89	98705	449658
90	99829	448683
91	100745	446782
92	101823	445616
93	102939	444609
94	104005	443393
95	104876	441356
96	105908	440010
97	106947	438703
98	108024	437554
99	109260	437043
100	110237	435492
101	111229	434013
102	112241	432619
103	113325	431507
104	114381	430292
105	115447	429117
106	116506	427915
107	117581	426777
108	118641	425583
109	119686	424344
110	120837	423473
111	121935	422420
112	122932	421015
113	124004	419873
114	125026	418566
115	126103	417445
116	127238	416515
117	128293	415323
118	129432	414402
119	130588	413530
120	131603	412211
121	132721	411217
122	133728	409883
123	134836	408859
124	135917	407752
125	136920	406415
126	138173	405817
127	139335	404943
128	140395	403773
129	141474	402658
130	142589	401644
131	143740	400730
132	144737	399387
133	145838	398334
134	146939	397280
135	147957	396003
136	149097	395054
137	150135	393834
138	151244	392800
139	152320	391681
140	153407	390589
141	154318	389055
142	155405	387969
143	156395	386643
144	157474	385540
145	158668	384716
146	159725	383559
147	160824	382501
148	161917	381429
149	163041	380429
150	164076	379223
151	165100	377993
152	166385	377357
153	167411	376133
154	168508	375066
155	169534	373845
156	170712	372957
157	171683	371618
158	172840	370683
159	174063	369885
160	175182	368863
161	176329	367896
162	177329	366626
163	178392	365486
164	179416	364269
165	180453	363081
166	181563	362040
167	182587	360827
168	183631	359656
169	184788	358707
170	185858	357587
171	187045	356690
172	188008	355368
173	189008	354119
174	190035	352922
175	190999	351613
176	192059	350481
177	193128	349367
178	194238	348327
179	195256	347123
180	196443	346217
181	197647	345339
182	198658	344125
183	199618	342822
184	200723	341773
185	201770	340623
186	202748	339359
187	203866	338331
188	204922	337200
189	205970	336057
190	207162	335147
191	208140	333892
192	209230	332817
193	210368	331818
194	211431	330700
195	212595	329740
196	213488	328360
197	214717	327497
198	215819	326440
199	217007	325510
200	218054	324369
201	219323	323556
202	220460	322546
203	221532	321438
204	222565	320276
205	223666	319213
206	224706	318062
207	226058	317351
208	227241	316398
209	228195	315127
210	229191	313915
211	230234	312771
212	231395	311786
213	232321	310485
214	233385	309371
215	234471	308286
216	235585	307238
217	236735	306235
218	237817	305144
219	238947	304114
220	240163	303193
221	241298	302166
222	242306	300981
223	243363	299858
224	244378	298685
225	245558	297711
226	246653	296636
227	247812	295636
228	248932	294588
229	249968	293441
230	251054	292353
231	251972	291071
232	253100	290034
233	254338	289119
234	255421	288028
235	256446	286871
236	257573	285830
237	258602	284679
238	259673	283576
239	260757	282487
240	261917	281480
241	263075	280468
242	264076	279291
243	265179	278220
244	266217	277083
245	267359	276054
246	268534	275057
247	269769	274121
248	270776	272951
249	271862	271862
250	272889	270715
251	273942	269594
252	275222	268695
253	276339	267636
254	277521	266638
255	278715	265650
256	279698	264462
257	280717	263308
258	281920	262327
259	282942	261178
260	284019	260079
261	285299	259165
262	286482	258161
263	287668	257158
264	288697	256014
265	289710	254858
266	290822	253788
267	292082	252847
268	293208	251788
269	294179	250597
270	295225	249470
271	296344	248406
272	297328	247229
273	298290	246035
274	299505	245049
275	300625	243986
276	301843	243000
277	303006	241969
278	304027	240824
279	305086	239710
280	306232	238665
281	307466	237686
282	308607	236635
283	309704	235549
284	310669	234364
285	311714	233241
286	312764	232121
287	313879	231049
288	315080	230041
289	316033	228851
290	317205	227821
291	318314	226744
292	319400	225651
293	320488	224560
294	321564	223460
295	322640	222360
296	323726	221267
297	324850	220200
298	325929	219103
299	327106	218070
300	328301	217049
301	329623	216110
302	330717	215020
303	331841	213950
304	333098	212964
305	334189	211871
306	335250	210760
307	336474	209750
308	337431	208574
309	338604	207531
310	339652	206412
311	340891	205408
312	341993	204322
313	343083	203227
314	344148	202118
315	345274	201045
316	346381	199961
317	347569	198923
318	348612	197802
319	349610	196656
320	350689	195555
321	351745	194443
322	352886	193377
323	353904	192244
324	355144	191231
325	356258	190150
326	357412	189089
327	358421	187952
328	359475	186839
329	360438	185680
330	361473	184559
331	362613	183491
332	363622	182357
333	364773	181294
334	365859	180199
335	366845	179055
336	367845	177919
337	368860	176790
338	369936	175692
339	370909	174545
340	371911	173413
341	372925	172287
342	374019	171198
343	375107	170106
344	376187	169011
345	377213	167892
346	378248	166778
347	379345	165691
348	380469	164615
349	381599	163542
350	382803	162500
351	383911	161417
352	384975	160315
353	385958	159180
354	387014	158076
355	388299	157065
356	389363	155963
357	390459	154875
358	391541	153781
359	392522	152647
360	393720	151598
361	394774	150494
362	395840	149394
363	397042	148345
364	398106	147244
365	399106	146120
366	400097	144994
367	401236	143921
368	402459	142878
369	403559	141791
370	404595	140681
371	405702	139596
372	406797	138507
373	407908	137423
374	409165	136388
375	410276	135303
376	411255	134176
377	412412	133106
378	413499	132014
379	414546	130909
380	415602	129807
381	416610	128691
382	417566	127559
383	418789	126509
384	419933	125434
385	420998	124336
386	422079	123242
387	423111	122135
388	424159	121032
389	425177	119921
390	426239	118823
391	427440	117764
392	428506	116667
393	429480	115545
394	430662	114479
395	431753	113389
396	432876	112307
397	433911	111203
398	434941	110097
399	435984	108996
400	437003	107888
401	437916	106755
402	438877	105635
403	440070	104571
404	441131	103475
405	442237	102390
406	443267	101287
407	444402	100208
408	445549	99132
409	446507	98013
410	447645	96935
411	448779	95855
412	449881	94769
413	451198	93727
414	452348	92649
415	453520	91576
416	454655	90494
417	455997	89454
418	457288	88401
419	458272	87289
420	459398	86205
421	460451	85107
422	461559	84019
423	462738	82943
424	463895	81863
425	464995	80773
426	466134	79690
427	467242	78601
428	468356	77513
429	469582	76443
430	470740	75362
431	471820	74267
432	472813	73160
433	474019	72085
434	475149	70999
435	476239	69906
436	477454	68832
437	478691	67760
438	479927	66686
439	480951	65584
440	482078	64495
441	483142	63398
442	484208	62302
443	485531	61238
444	486628	60145
445	487660	59044
446	488722	57946
447	489832	56855
448	490938	55763
449	491911	54656
450	492884	53550
451	493995	52459
452	495083	51366
453	496146	50270
454	497285	49182
455	498398	48091
456	499491	46998
457	500610	45907
458	501438	44790
459	502506	43696
460	503541	42598
461	504559	41500
462	505558	40401
463	506633	39307
464	507645	38209
465	508782	37121
466	509916	36032
467	511016	34941
468	512113	33849
469	513158	32754
470	514257	31663
471	515299	30568
472	516221	29467
473	517376	28379
474	518374	27282
475	519413	26188
476	520304	25088
477	521411	23998
478	522515	22907
479	523620	21817
480	524669	20725
481	525737	19633
482	526816	18542
483	527912	17451
484	529042	16362
485	529996	15267
486	531212	14180
487	532292	13089
488	533225	11994
489	534393	10905
490	535479	9815
491	536537	8724
492	537650	7633
493	538826	6544
494	540041	5454
495	541192	4364
496	542268	3273
497	543359	2182
498	544559	1091
499	545664	0
